pdf_page	printed_page_guess	chars	words	status	method
157		2767	382	ok	plain
158		2507	357	ok	plain
159		1181	185	ok	plain
160		1817	294	ok	plain
161		1360	218	ok	plain
162		1557	251	ok	plain
163		2381	338	ok	plain
164		2937	422	ok	plain
165		1469	260	ok	plain
166		1401	223	ok	plain
167		1299	228	ok	plain
168		1997	334	ok	plain
169		2679	424	ok	plain
170		3035	419	ok	plain
171		1408	239	ok	plain
172		1940	289	ok	plain
173		2598	410	ok	plain
174		1870	288	ok	plain
175		824	123	ok	plain
176		1535	232	ok	plain
177		2441	422	ok	plain
178		2954	436	ok	plain
179		1865	301	ok	plain
180		1108	187	ok	plain
181		2978	416	ok	plain
182		1832	275	ok	plain
183		919	143	ok	plain
184		1039	170	ok	plain
185		1447	220	ok	plain
186		1634	272	ok	plain
187		2920	429	ok	plain
188		1700	269	ok	plain
189		2115	320	ok	plain
190		1332	227	ok	plain
191		1429	243	ok	plain
192		906	168	ok	plain
193		2733	390	ok	plain
194		1803	286	ok	plain
195		3406	538	ok	plain
196		991	208	ok	plain
197		1801	275	ok	plain
198		2563	402	ok	plain
199		2377	366	ok	plain
200		2724	418	ok	plain
201		2668	393	ok	plain
202		2116	327	ok	plain
203		2541	391	ok	plain
204		1232	251	ok	plain
205		2580	402	ok	plain
206		1839	280	ok	plain
207		2272	406	ok	plain
208		3990	601	ok	plain
209		3220	500	ok	plain
210		1943	328	ok	plain
211		1593	320	ok	plain
212		3564	554	ok	plain
213		600	115	ok	plain
214		2196	360	ok	plain
215		2122	345	ok	plain
216		1925	332	ok	plain
217		458	63	ok	plain
218		3527	539	ok	plain
219		2366	346	ok	plain
220		3712	575	ok	plain
221		3081	450	ok	plain
222		2344	336	ok	plain
223		1014	174	ok	plain
224		1422	239	ok	plain
225		2197	323	ok	plain
226		1498	231	ok	plain
227		1274	190	ok	plain
228		1489	266	ok	plain
229		1677	264	ok	plain
